road,id,model_type,name,lat,lon,length,chainage,condition
N2,202016,link,link 1011,24.2103030029183,91.35571943029069,463.0,123.4225,
N2,202017,bridge,bridge 1001,24.2120458313539,91.3569636109263,3.3,123.654,A
N2,202018,link,link 1012,24.214895419352203,91.35944757513596,650.0,123.979,
N2,202019,bridge,bridge 1002,24.2177450073505,91.3619315393456,6.449999999999999,124.304,A
N2,202020,link,link 1013,24.217701394367552,91.36190752298046,156.0,124.382,
N2,202021,bridge,bridge 1003,24.2176577813846,91.3618835066153,4.3,124.46,A
N2,202022,link,link 1014,24.2191369895687,91.36292255134134,396.0,124.65799999999999,
N2,202023,bridge,bridge 1004,24.2206161977528,91.3639615960674,5.3,124.856,A
N2,202024,link,link 1015,24.224204151429937,91.36486223059296,285.0,124.9985,
N2,202025,bridge,bridge 1005,24.227792105107078,91.36576286511851,4.6,125.141,A
N2,202026,link,link 1016,24.23057179730874,91.3666505076175,1176.0,125.729,
N2,202027,bridge,bridge 1006,24.2333514895104,91.3675381501165,1.5,126.317,A
N2,202028,link,link 1017,24.2353703386858,91.36796461046285,455.0,126.5445,
N2,202029,bridge,bridge 1007,24.2373891878612,91.3683910708092,1.5,126.772,A
N2,202030,link,link 1018,24.2387468019951,91.36870279942445,304.0,126.924,
N2,202031,bridge,bridge 1008,24.240104416129,91.3690145280397,1.5,127.076,A
N2,202032,link,link 1019,24.2441573489957,91.37035837502827,615.0,127.3835,
N2,202033,bridge,bridge 1009,24.2482102818624,91.37170222201685,4.949999999999999,127.691,A
N2,202034,link,link 1020,24.24828935535975,91.37162870515127,349.0,127.8655,
N2,202035,bridge,bridge 1010,24.2483684288571,91.3715551882857,1.5,128.04,A
N2,202036,link,link 1021,24.25116857492235,91.3731540895132,713.0,128.3965,
N2,202037,bridge,bridge 1011,24.2539687209876,91.3747529907407,3.3,128.753,A
N2,202038,link,link 1022,24.25620766038093,91.37635314268807,350.0,128.928,
N2,202039,bridge,bridge 1012,24.258446599774263,91.37795329463545,2.9333333333333336,129.103,A
N2,202040,link,link 1023,24.261414634887107,91.37971235768134,882.0,129.544,
N2,202041,bridge,bridge 1013,24.26438266999995,91.38147142072725,3.4000000000000004,129.985,B
N2,202042,link,link 1024,24.2671357088525,91.38431904797173,656.0,130.313,
N2,202043,bridge,bridge 1014,24.26988874770505,91.3871666752162,1.85,130.641,A
N2,202044,link,link 1025,24.270509083302677,91.38850799568371,827.0,131.0545,
N2,202045,bridge,bridge 1015,24.2711294189003,91.3898493161512,4.3,131.468,A
N2,202046,link,link 1026,24.27113869585365,91.39120189711065,299.0,131.6175,
N2,202047,bridge,bridge 1016,24.271147972807,91.3925544780701,2.0,131.767,A
N2,202048,link,link 1027,24.273168880407653,91.39708443658455,1025.0,132.27949999999998,
N2,202049,bridge,bridge 1017,24.2751897880083,91.401614395099,83.05,132.792,A
N2,202050,link,link 1028,24.2762607714235,91.4035643588398,460.0,133.022,
N2,202051,bridge,bridge 1018,24.2773317548387,91.4055143225806,2.6,133.252,A
N2,202052,link,link 1029,24.2777157583333,91.40629627916661,187.0,133.34550000000002,
N2,202053,bridge,bridge 1019,24.2780997618279,91.4070782357526,2.6,133.439,A
N2,202054,link,link 1030,24.278600645380948,91.4079749036631,220.0,133.54899999999998,
N2,202055,bridge,bridge 1020,24.279101528934,91.4088715715736,2.5,133.659,A
N2,202056,link,link 1031,24.2802862517104,91.4122787331475,763.0,134.0405,
N2,202057,bridge,bridge 1021,24.2814709744868,91.4156858947214,2.6,134.422,A
N2,202058,link,link 1032,24.28181691565245,91.41829178486066,535.0,134.6895,
N2,202059,bridge,bridge 1022,24.2821628568181,91.4208976749999,4.2,134.957,A
N2,202060,link,link 1033,24.281245464309052,91.42719755039995,1290.0,135.602,
N2,202061,bridge,bridge 1023,24.2803280718,91.4334974258,12.5,136.247,A
N2,202062,link,link 1034,24.278933961323702,91.43805902306946,1015.0,136.7545,
N2,202063,bridge,bridge 1024,24.2775398508474,91.4426206203389,2.6,137.262,A
N2,202064,link,link 1035,24.27586144873655,91.4444114334823,522.0,137.523,
N2,202065,bridge,bridge 1025,24.2741830466257,91.4462022466257,2.6,137.784,A
